usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_4d0ba90fe0,25,0,25,0.0
USER_3d6836b8b6,25,0,25,0.0
USER_aa4b9c334a,25,0,25,0.0
USER_7f18f3585b,25,0,25,0.0
USER_008f823feb,4,0,4,0.0
USER_f8c20ec3af,25,0,25,0.0
USER_c29495f125,25,0,25,0.0
USER_45d509ca6d,25,0,25,0.0
USER_8a72e37d2d,25,0,25,0.0
USER_0e97511faf,25,0,25,0.0
USER_eef497b653,25,0,25,0.0
USER_096d954367,25,0,25,0.0
USER_c4b9ea62c2,25,0,25,0.0
USER_434aba043c,25,2,23,0.08
USER_613e0a1267,25,0,25,0.0
USER_5bc0e512a8,25,0,25,0.0
USER_78a3246c37,25,0,25,0.0
USER_75edf33b6e,25,0,25,0.0
USER_7db2ccb5cd,25,0,25,0.0
USER_a603ff5e1e,25,0,25,0.0
USER_708776eb93,25,0,25,0.0
USER_e3faede1e6,25,0,25,0.0
USER_1e1db0d6e9,25,0,25,0.0
USER_d50a01da8f,25,2,23,0.08
USER_bc10939b37,25,0,25,0.0
USER_c98fa69cdf,25,0,25,0.0
USER_7fb8df1811,25,0,25,0.0
USER_d1b9c36f37,25,0,25,0.0
USER_69a90ab775,25,0,25,0.0
USER_83adc2c931,25,0,25,0.0
USER_79c482c535,25,0,25,0.0
USER_ba1467f7bb,25,1,24,0.04
USER_65fe87fdbb,25,0,25,0.0
USER_5e4dda83c2,25,2,23,0.08
USER_0020a6eb43,25,0,25,0.0
USER_d84e624617,25,0,25,0.0
USER_092d28968c,25,0,25,0.0
USER_3d5f6e48ec,25,0,25,0.0
USER_3ff93ab7c4,25,0,25,0.0
USER_7a1b02affc,25,0,25,0.0
USER_0bb5e1f671,20,6,14,0.3
USER_171d3fa71d,25,0,25,0.0
USER_cba48d5cc9,25,0,25,0.0
USER_5987ecfd1b,4,0,4,0.0
USER_0d9767d880,25,0,25,0.0
USER_381c31283e,25,0,25,0.0
USER_2c68839810,25,0,25,0.0
USER_20236d5155,25,0,25,0.0
USER_107f316635,6,1,5,0.167
USER_33f484652a,25,1,24,0.04
USER_7ffee53928,25,0,25,0.0
USER_2761db5b39,25,2,23,0.08
USER_d0e259466f,25,0,25,0.0
USER_17912a19eb,25,0,25,0.0
USER_3f0455766b,25,0,25,0.0
USER_2e15c97467,25,0,25,0.0
USER_c9659af481,21,1,20,0.048
USER_0c8996db86,25,0,25,0.0
USER_593977bf5d,17,1,16,0.059
USER_5df27839ff,25,0,25,0.0
USER_89cb828351,25,2,23,0.08
USER_018c4ff2dc,25,0,25,0.0
USER_73d34a0dcd,25,1,24,0.04
USER_14d1c2b9e6,25,1,24,0.04
USER_845d58793b,25,2,23,0.08
USER_c4f5c59f9d,25,1,24,0.04
USER_fa2e61bd78,25,0,25,0.0
USER_f5b2537292,25,0,25,0.0
USER_5c2a8bac96,25,2,23,0.08
USER_4cc33a1d5e,25,0,25,0.0
USER_8b8eadefb5,25,0,25,0.0
USER_be5e0ca4ac,25,0,25,0.0
USER_e3833a7967,25,0,25,0.0
USER_af2a99ed40,25,0,25,0.0
USER_9dd7084c22,25,0,25,0.0
USER_2c125b0893,25,0,25,0.0
USER_2075bd1e39,25,0,25,0.0
USER_aff27a1bda,25,0,25,0.0
USER_2be0656c8c,25,0,25,0.0
USER_05f3eee41f,25,1,24,0.04
USER_71edcd250d,25,0,25,0.0
USER_20fbb41f61,25,0,25,0.0
USER_e941da73e9,25,0,25,0.0
USER_3a4fa01c76,25,1,24,0.04
USER_dba8b7122e,25,0,25,0.0
USER_1416775413,25,0,25,0.0
USER_a176077262,25,0,25,0.0
USER_6bccf2e98c,25,0,25,0.0
USER_223eeb1b18,25,1,24,0.04
USER_164c58742b,25,0,25,0.0
USER_11ff0f8015,25,0,25,0.0
USER_aa6436a49f,25,2,23,0.08
USER_2aff125e78,25,0,25,0.0
USER_c6b4aa4e95,25,0,25,0.0
USER_9c3d626460,25,0,25,0.0
USER_ea3676b099,25,0,25,0.0
USER_f2d96a87af,25,0,25,0.0
USER_41af65cc03,25,0,25,0.0
USER_74bbd472f9,25,0,25,0.0
USER_3cd15351d2,25,1,24,0.04
USER_639dfa89cc,25,3,22,0.12
USER_aedcedcae6,25,0,25,0.0
USER_45238aefbe,25,0,25,0.0
USER_d064108df0,25,1,24,0.04
USER_b9b030204e,25,0,25,0.0
USER_ecd867330c,25,0,25,0.0
USER_51237f8a03,25,4,21,0.16
